Pozo,Status,Net_Pay_m,HCPV_m,Phi_Pay_Avg_%,Sw_Pay_Avg_Frac,Vsh_Pay_Avg_Frac,Tope_m,Base_m
31_2-8,OK,61.86,6.74,18.54,0.412,0.405,360.83,3388.97
15_9-15,OK,50.46,6.18,21.43,0.429,0.285,25.0,3209.86
31_3-4,OK,43.02,5.93,22.29,0.382,0.282,388.01,2122.63
26_4-1,OK,50.16,5.8,17.51,0.34,0.332,233.25,3689.88
34_2-4,OK,52.74,5.78,17.55,0.376,0.348,419.61,4115.79
25_5-4,OK,35.42,5.71,20.66,0.219,0.356,145.0,3188.04
35_9-10 S,OK,35.87,5.41,18.75,0.195,0.398,389.13,3622.01
25_5-3,OK,28.73,5.07,22.64,0.221,0.394,153.36,2898.03
30_3-3,OK,49.55,4.94,16.66,0.402,0.356,200.91,3436.38
35_8-4,OK,44.08,4.92,15.5,0.28,0.196,390.04,3721.58
16_7-4,OK,37.7,4.77,20.84,0.393,0.409,140.1,2786.57
35_11-1,OK,49.25,4.54,15.73,0.413,0.443,373.46,3366.49
16_2-7,OK,32.83,4.44,23.39,0.422,0.397,135.64,2500.0
15_9-13,OK,27.36,4.26,23.66,0.342,0.316,25.0,3283.88
35_9-5,OK,38.91,4.15,16.75,0.364,0.242,307.7,3530.86
25_4-5,OK,43.78,3.74,14.36,0.405,0.369,145.59,4354.47
31_3-3,OK,31.77,3.7,19.97,0.416,0.394,348.25,2577.63
25_11-5,OK,13.83,3.59,32.74,0.207,0.174,146.61,2173.68
32_2-1,OK,25.69,3.55,23.12,0.402,0.401,379.07,1299.88
25_2-14,OK,33.59,3.43,15.79,0.353,0.414,139.04,3629.11
34_4-10 R,OK,31.31,3.36,17.52,0.388,0.145,372.82,4250.79
25_3-1,OK,36.18,3.36,15.51,0.4,0.432,136.0,3930.07
25_7-2,OK,41.65,3.27,11.55,0.32,0.314,133.86,4949.98
31_6-5,OK,23.56,2.97,22.85,0.449,0.451,326.38,2088.97
29_6-1,OK,34.2,2.86,13.95,0.4,0.321,147.46,4837.42
35_11-12,OK,23.26,2.68,17.9,0.355,0.167,362.25,3379.45
35_11-11,OK,26.9,2.64,14.98,0.346,0.425,382.12,3225.88
33_9-1,OK,18.09,2.43,24.75,0.456,0.381,464.6,3133.27
35_8-6 S,OK,24.02,2.34,16.99,0.427,0.13,411.02,4043.06
31_5-4 S,OK,10.34,2.29,26.66,0.167,0.325,164.79,1907.62
16_2-16,OK,21.43,2.27,19.04,0.444,0.436,142.39,2215.06
16_2-6,OK,14.59,2.06,22.96,0.386,0.312,141.02,2131.15
25_11-19 S,OK,9.88,1.73,28.23,0.378,0.335,155.1,2249.96
34_10-35,OK,17.18,1.7,16.29,0.393,0.372,223.38,4312.02
31_3-1,OK,12.62,1.64,23.87,0.456,0.417,349.12,2379.84
34_7-13,OK,14.29,1.58,19.92,0.446,0.414,433.62,3000.9
KGS_T1S R13E_1,OK,13.26,1.53,16.6,0.306,0.295,552.97,638.62
15_9-23,OK,6.08,0.91,24.43,0.387,0.391,110.0,3224.94
34_5-1 A,OK,8.51,0.9,18.3,0.423,0.381,411.99,4415.97
1044818676,OK,12.19,0.78,10.4,0.386,0.16,1005.38,1086.92
33_9-17,OK,5.47,0.73,24.07,0.443,0.41,254.61,3259.65
16_10-1,OK,5.93,0.71,18.07,0.339,0.405,100.0,3162.19
33_5-2,OK,10.64,0.68,10.03,0.364,0.327,324.15,4534.25
34_3-2 S,OK,7.9,0.67,15.57,0.457,0.116,426.01,4332.1
25_10-9,OK,11.86,0.62,9.77,0.461,0.358,140.34,2985.02
7_1-2 S,OK,5.47,0.6,18.85,0.421,0.419,198.17,3174.94
34_8-7 R,OK,8.66,0.57,10.06,0.34,0.344,23.0,5479.04
31_6-8,OK,4.1,0.55,25.84,0.48,0.451,668.93,2147.13
15_9-14,OK,3.5,0.53,24.89,0.39,0.416,98.8,3575.65
33_6-3 S,OK,4.26,0.45,18.26,0.42,0.284,361.34,4443.91
25_9-1,OK,3.19,0.32,18.5,0.46,0.458,80.15,2532.06
31_3-2,OK,1.67,0.27,28.06,0.427,0.421,358.3,2094.9
31_2-1,OK,2.13,0.22,17.21,0.408,0.42,0.08,2437.24
25_11-24,OK,1.67,0.17,16.49,0.378,0.458,140.7,2118.83
25_8-7,OK,1.37,0.15,20.54,0.478,0.446,975.06,2383.64
16_7-5,OK,1.06,0.15,26.96,0.465,0.441,99.15,2909.18
25_6-3,OK,1.37,0.13,17.6,0.452,0.392,138.1,2474.95
31_4-5,OK,1.37,0.11,14.11,0.408,0.38,144.83,2934.18
31_2-10,OK,0.61,0.1,29.27,0.46,0.448,25.0,1838.82
16_1-6 A,OK,0.46,0.09,31.99,0.392,0.457,140.1,2193.92
16_10-3,OK,0.46,0.06,22.75,0.457,0.478,114.91,2850.0
16_10-2,OK,0.3,0.05,27.43,0.447,0.47,97.99,3157.75
34_10-19,OK,0.3,0.04,24.43,0.458,0.426,211.15,2223.02
16_10-5,OK,0.3,0.01,8.38,0.475,0.432,175.16,3033.82
16_8-1,OK,0.0,0.0,0.0,1.0,,96.98,2312.68
1056634618,OK,0.0,0.0,0.0,1.0,,93.42,1288.08
31_2-9,OK,0.0,0.0,0.0,1.0,,349.31,1778.26
17_11-1,OK,0.0,0.0,0.0,1.0,,148.46,3269.32
35_12-1,OK,0.0,0.0,0.0,1.0,,477.82,3027.77
25_6-2,OK,0.0,0.0,0.0,1.0,,145.0,2399.92
16_11-1 ST3,OK,0.0,0.0,0.0,1.0,,88.59,3047.88
16_7-6,OK,0.0,0.0,0.0,1.0,,103.02,2733.08
17_4-1,OK,0.0,0.0,0.0,1.0,,136.45,4000.13
16_4-1,OK,0.0,0.0,0.0,1.0,,112.61,2912.91
1044165723,OK,0.0,0.0,0.0,1.0,,89.92,1184.61
34_7-21,OK,0.0,0.0,0.0,1.0,,212.75,3018.97
16_1-2,OK,0.0,0.0,0.0,1.0,,104.9,2923.89
25_6-1,OK,0.0,0.0,0.0,1.0,,140.0,2880.86
31_4-10,OK,0.0,0.0,0.0,1.0,,257.45,2351.71
36_7-3,OK,0.0,0.0,0.0,1.0,,373.0,2949.25
7_1-1,OK,0.0,0.0,0.0,1.0,,82.6,2815.71
35_11-5,OK,0.0,0.0,0.0,1.0,,443.23,3781.45
34_7-20,OK,0.0,0.0,0.0,1.0,,417.62,3182.65
25_10-10,OK,0.0,0.0,0.0,1.0,,182.01,2514.45
31_2-7,OK,0.0,0.0,0.0,1.0,,353.3,1667.5
